OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
35.0,1000,47.92,108,123,138,4
35.0,1250,51.2,108,123,138,4
35.0,1500,60.3,115,125,139,4
35.0,1750,65.3,122,129,142,4
35.0,2000,69.6,128,133,145,4
35.0,2250,73.4,133,136,148,4
35.0,2500,76.7,138,139,150,4
35.0,2750,79.25,141,141,152,7
35.0,3000,79.25,141,141,152,7
36.0,1000,47.98,108,123,138,4
36.0,1250,52.56,109,123,138,4
36.0,1750,64.98,122,129,142,4
36.0,2000,69.32,128,133,145,4
36.0,2250,73.14,133,136,148,4
36.0,2500,76.46,138,139,150,4
36.0,2750,79.02,141,141,152,6
36.0,3000,79.25,141,141,152,7
37.0,1000,48.04,108,123,138,4
37.0,1250,53.92,110,123,138,4
37.0,1750,64.66,121,129,142,4
37.0,2000,69.04,127,133,145,4
37.0,2250,72.88,132,136,148,4
37.0,2500,76.22,137,139,150,4
37.0,2750,78.79,140,141,152,6
37.0,3000,79.25,141,141,152,7
38.0,1000,48.09,108,123,138,4
38.0,1250,55.28,112,124,138,4
38.0,1750,64.34,121,128,141,4
38.0,2000,68.76,127,132,144,4
38.0,2250,72.62,132,135,147,4
38.0,2500,75.98,137,138,149,4
38.0,2750,78.56,140,140,151,5
38.0,3000,79.25,141,141,152,7
39.0,1000,48.14,108,123,138,4
39.0,1250,56.64,113,124,138,4
39.0,1750,64.02,120,128,141,4
39.0,2000,68.48,126,132,144,4
39.0,2250,72.36,131,135,147,4
39.0,2500,75.74,136,138,149,4
39.0,2750,78.33,139,140,151,5
39.0,3000,79.25,141,141,152,7
40.0,1000,48.2,108,123,138,4
40.0,1250,58.0,114,124,138,4
40.0,1750,63.7,120,128,141,4
40.0,2000,68.2,126,132,144,4
40.0,2250,72.1,131,135,147,4
40.0,2500,75.5,136,138,149,4
40.0,2750,78.1,139,140,151,4
40.0,3000,79.25,141,141,152,7
